# Shrunk traces: 10
# Start total 1923'
# Start: [357,430,546,269,321]'
# Start inputs: [150, 185, 227, 110, 134]'
# Start max, min, avg: 227, 110, 161.2'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],21624.53,"[3779.31658116, 4824.076475644, 7177.731384766, 2735.261867985, 3108.145891477]",295,45492,"[8100, 11554, 13491, 5637, 6710]",19478,"[3491, 5076, 5525, 2360, 3026]",18,13,16.00,"[18, 18, 13, 14, 17]",33,24,28.80,"[33, 32, 25, 24, 30]",0.47
['Shrinking::DeltaShrink'],12859.25,"[1979.995042032, 3407.882987514, 2963.450220537, 2161.040212879, 2346.876987882]",772,25819,"[4296, 6860, 6664, 4210, 3789]",11722,"[2092, 2924, 3110, 2039, 1557]",7,5,5.40,"[5, 5, 5, 7, 5]",8,6,6.40,"[6, 6, 6, 8, 6]",0.51
['Shrinking::CycleShrink2'],18250.55,"[2370.868130126, 3573.304882588, 7174.243128506, 1971.968765187, 3160.160389674]",85,29806,"[3850, 6429, 10432, 3960, 5135]",11378,"[1469, 2499, 3769, 1674, 1967]",191,82,130.00,"[129, 153, 191, 82, 95]",520,187,333.00,"[343, 386, 520, 187, 229]",0.59
['Shrinking::RoughCycleShrink2'],56001.61,"[1977.231890279, 28495.935412012, 8269.847746452, 12690.910798459, 4567.680028291]",855,92367,"[4987, 42759, 14128, 23636, 6857]",37687,"[2309, 16761, 5765, 10251, 2601]",21,6,15.40,"[20, 16, 21, 14, 6]",40,8,29.40,"[39, 34, 40, 26, 8]",0.57
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",118675.76,"[17242.974982757998, 28110.492050463, 61087.109405769, 5835.094693793, 6400.091886888]",727,147752,"[25324, 35605, 60370, 11627, 14826]",57754,"[9892, 14099, 22066, 5203, 6494]",20,17,18.20,"[20, 17, 18, 19, 17]",31,25,27.40,"[31, 26, 27, 28, 25]",0.58
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",50694.21,"[8596.298214894, 11710.249941592, 22288.092208504, 3702.356413595, 4397.208480458]",325,65211,"[11312, 14832, 23138, 7488, 8441]",24892,"[4226, 5684, 8263, 3246, 3473]",16,11,13.60,"[16, 13, 14, 14, 11]",24,16,22.20,"[24, 24, 23, 24, 16]",0.71
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",36404.60,"[5608.927290351, 8516.891767262001, 13629.33799718, 3717.334168086, 4932.104325139]",830,53470,"[8593, 11836, 16911, 7817, 8313]",21432,"[3388, 4613, 6494, 3639, 3298]",7,5,5.80,"[5, 5, 5, 7, 7]",8,6,6.80,"[6, 6, 6, 8, 8]",0.65
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",56688.76,"[2128.033919198, 28641.677768483, 8549.090647292, 12788.023230321, 4581.930317972]",932,93667,"[5353, 43020, 14565, 23846, 6883]",38424,"[2524, 16901, 6005, 10371, 2623]",9,5,7.80,"[9, 7, 9, 9, 5]",14,6,11.00,"[12, 10, 13, 14, 6]",0.57
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",56488.49,"[2064.995220746, 28579.667575944, 8472.946143501, 12786.916139029, 4583.9687987279995]",942,93353,"[5198, 42949, 14456, 23865, 6885]",38265,"[2427, 16875, 5953, 10386, 2624]",9,5,7.40,"[7, 7, 9, 9, 5]",14,6,10.60,"[10, 10, 13, 14, 6]",0.57
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",56599.90,"[2102.97746044, 28592.042532239, 8453.698290542, 12847.828647363998, 4603.349840519]",1098,93907,"[5465, 42993, 14547, 23982, 6920]",38718,"[2647, 16917, 6030, 10475, 2649]",7,5,5.40,"[7, 5, 5, 5, 5]",8,6,6.40,"[8, 6, 6, 6, 6]",0.57

