# Shrunk traces: 10
# Start total, inputs: 930, 328'
# Start: [47, 56, 279, 442, 82]'
# Start inputs: [22, 26, 95, 156, 29]'
# Start max, min, avg: 156, 22, 65.6'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],4373.90,"[282.33539355, 458.598339145, 698.238672119, 2597.804016908, 336.927196806]",144,9448,"[510, 598, 1837, 5874, 629]",3670,"[191, 249, 734, 2217, 279]",12,4,7.80,"[8, 4, 8, 12, 7]",20,8,16.00,"[19, 8, 16, 20, 17]",0.46
['Shrinking::DeltaShrink'],3334.50,"[1046.729865668, 474.405731056, 566.780769143, 805.397900731, 441.189210427]",348,5855,"[1495, 494, 1133, 2074, 659]",2467,"[554, 189, 499, 945, 280]",11,7,8.20,"[7, 11, 8, 7, 8]",25,15,18.60,"[18, 25, 17, 15, 18]",0.57
['Shrinking::CycleShrink2'],4873.33,"[127.682997605, 106.752721293, 1590.206161942, 2933.223862849, 115.466352256]",53,10926,"[319, 305, 3400, 6745, 157]",4036,"[126, 138, 1131, 2582, 59]",112,16,48.00,"[17, 23, 72, 112, 16]",264,37,118.00,"[37, 47, 203, 264, 39]",0.45
['Shrinking::RoughCycleShrink2'],1166.30,"[332.703522777, 127.794629778, 53.732215193, 357.049901228, 295.024640141]",87,2540,"[765, 199, 102, 917, 557]",1066,"[285, 85, 53, 394, 249]",16,10,12.80,"[16, 12, 10, 15, 11]",34,16,26.00,"[34, 25, 16, 30, 25]",0.46
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",13003.90,"[301.258536774, 372.967968818, 4036.0111997910003, 7995.311044728, 298.346944603]",291,32940,"[680, 920, 9755, 21142, 443]",13265,"[290, 422, 3750, 8605, 198]",16,9,12.20,"[9, 10, 15, 16, 11]",27,19,23.00,"[19, 21, 27, 26, 22]",0.39
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",7279.93,"[314.806206232, 360.65512890499997, 2206.2485646200003, 4085.4625229060002, 312.75867636]",177,16126,"[610, 690, 4993, 9443, 390]",6162,"[237, 307, 1768, 3695, 155]",12,7,8.60,"[7, 7, 10, 12, 7]",24,17,18.40,"[17, 17, 17, 24, 17]",0.45
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",6961.41,"[468.888440393, 629.535952907, 1868.1616554890002, 3607.588796702, 387.233816019]",318,14395,"[707, 990, 4244, 8032, 422]",5593,"[272, 455, 1568, 3134, 164]",8,7,7.20,"[7, 7, 8, 7, 7]",17,12,15.60,"[17, 17, 12, 16, 16]",0.48
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",1915.35,"[547.888620442, 315.02655044799997, 70.664703309, 528.693510778, 453.079593831]",150,3553,"[1087, 405, 190, 1138, 733]",1536,"[430, 170, 113, 503, 320]",10,7,8.20,"[9, 7, 8, 10, 7]",19,12,17.00,"[19, 18, 12, 19, 17]",0.54
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",2075.99,"[609.55404013, 361.60502963600004, 78.32412395, 573.675331046, 452.83319059]",169,3675,"[1098, 465, 215, 1164, 733]",1540,"[410, 194, 130, 484, 322]",8,7,7.60,"[8, 8, 8, 7, 7]",20,12,16.60,"[18, 20, 12, 16, 17]",0.56
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",2901.67,"[673.641674295, 610.948293554, 109.554160685, 815.1831250590001, 692.347543169]",308,4630,"[1145, 692, 295, 1519, 979]",1969,"[429, 286, 189, 641, 424]",8,7,7.40,"[7, 7, 8, 8, 7]",18,12,16.20,"[18, 17, 12, 17, 17]",0.63

