# Shrunk traces: 10
# Start total, inputs: 1855 ,744'
# Start: [441,156,337,256,665]'
# Start inputs: [166,64,132,113,269]'
# Start max, min, avg: 269, 64, 148.8'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],16524.54,"[3867.263096238, 659.886179781, 1912.696230107, 1412.640229896, 8672.057577014]",195,25691,"[6227, 1208, 2898, 3212, 12146]",10042,"[2303, 524, 1141, 1456, 4618]",13,8,10.20,"[11, 9, 8, 10, 13]",24,15,18.20,"[18, 16, 15, 18, 24]",0.60
['Shrinking::DeltaShrink'],4445.25,"[979.39398091, 379.841022687, 839.549961898, 672.250015181, 1574.218417478]",385,7514,"[2003, 708, 1388, 1541, 1874]",3372,"[942, 336, 566, 796, 732]",8,7,7.20,"[7, 8, 7, 7, 7]",14,13,13.20,"[13, 14, 13, 13, 13]",0.58
['Shrinking::CycleShrink2'],13664.66,"[2263.993114675, 421.90019163, 2176.360889484, 1152.339658998, 7650.06923211]",55,19152,"[3432, 774, 3218, 2020, 9708]",7165,"[1184, 305, 1200, 801, 3675]",181,62,113.00,"[145, 62, 112, 65, 181]",475,151,301.80,"[420, 151, 295, 168, 475]",0.65
['Shrinking::RoughCycleShrink2'],1615.43,"[211.317464892, 40.435454033, 89.894511337, 245.086976662, 1028.697581006]",88,2795,"[434, 71, 189, 686, 1415]",1288,"[207, 36, 85, 352, 608]",16,10,13.00,"[16, 10, 10, 14, 15]",39,18,29.00,"[37, 18, 22, 29, 39]",0.52
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",117029.26,"[31002.587179993, 2977.787655183, 13984.838772899, 4627.49698051, 64436.55105819]",610,121798,"[36239, 4995, 19087, 7367, 54110]",43320,"[11876, 2032, 7434, 2854, 19124]",22,8,14.40,"[19, 10, 13, 8, 22]",34,15,23.60,"[34, 17, 21, 15, 31]",0.80
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",35167.48,"[9920.912183852, 1106.915019151, 4548.703351601, 2223.3282298639997, 17367.619506299]",230,37445,"[9559, 1918, 6432, 3580, 15956]",13515,"[3064, 793, 2452, 1404, 5802]",12,8,10.00,"[12, 9, 11, 8, 10]",25,15,19.40,"[25, 16, 21, 15, 20]",0.81
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",21877.54,"[4070.587471228, 892.7366227929999, 2958.500574278, 1629.201942976, 12326.518116628999]",409,26520,"[5023, 1462, 4320, 2899, 12816]",10211,"[1795, 613, 1671, 1245, 4887]",7,7,7.00,"[7, 7, 7, 7, 7]",13,11,12.40,"[13, 13, 13, 12, 11]",0.73
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",2638.02,"[483.23727598100004, 85.02846732, 136.471836242, 371.953349134, 1561.3263832900002]",153,3801,"[698, 174, 296, 909, 1724]",1783,"[349, 94, 142, 463, 735]",7,7,7.00,"[7, 7, 7, 7, 7]",13,13,13.00,"[13, 13, 13, 13, 13]",0.59
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",2682.89,"[661.110066976, 80.96766771200001, 132.407812706, 330.205684126, 1478.200471562]",168,3761,"[755, 171, 288, 849, 1698]",1757,"[359, 93, 139, 437, 729]",9,7,7.40,"[9, 7, 7, 7, 7]",20,13,14.40,"[20, 13, 13, 13, 13]",0.61
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",2333.08,"[380.092561607, 102.741339289, 199.32572963299998, 368.98606822, 1281.938369015]",263,3920,"[671, 211, 342, 971, 1725]",1913,"[340, 119, 166, 504, 784]",7,7,7.00,"[7, 7, 7, 7, 7]",13,12,12.60,"[13, 13, 12, 13, 12]",0.55

