# Shrunk traces: 10
# Start total, inputs: 1668, 1272'
# Start: [127, 57, 433, 171, 65, 256, 132, 87, 224, 116]'
# Start inputs: [96, 41, 332, 127, 48, 194, 106, 68, 170, 90]'
# Start max, min, avg: 332, 41, 127.2'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],1065.49,"[52.053839396, 23.675184871, 442.023194711, 81.532069624, 24.254954426, 165.046705379, 60.522843307, 38.049787564, 129.566956608, 48.765527782]",1272,149792,"[6131, 1154, 71751, 10830, 1583, 24295, 6940, 3001, 18954, 5153]",114660,"[4586, 847, 54965, 8036, 1158, 18754, 5587, 2308, 14395, 4024]",8,5,6.50,"[7, 7, 6, 7, 6, 7, 6, 8, 5, 6]",10,7,8.50,"[9, 9, 8, 9, 8, 9, 8, 10, 7, 8]",0.01
['Shrinking::BinaryShrink2'],251.80,"[26.236852407, 25.881324485, 23.5339256, 29.210040368, 22.081214036, 27.164625846, 23.163066574, 31.145219232, 21.002375058, 22.378565901]",170,2744,"[230, 148, 507, 317, 194, 386, 237, 197, 348, 180]",2130,"[177, 113, 384, 250, 150, 300, 192, 159, 266, 139]",8,5,6.50,"[7, 7, 6, 7, 6, 7, 6, 8, 5, 6]",10,7,8.50,"[9, 9, 8, 9, 8, 9, 8, 10, 7, 8]",0.09
['Shrinking::DeltaShrink'],803.94,"[97.362470348, 52.688166384, 61.559967941, 73.456143042, 88.62737017, 86.817000031, 72.09057948, 99.064427683, 87.108765228, 85.168348039]",369,4805,"[514, 200, 961, 482, 319, 678, 364, 366, 556, 365]",3794,"[404, 155, 736, 378, 255, 535, 305, 305, 433, 288]",8,5,6.20,"[7, 5, 5, 6, 5, 7, 6, 8, 7, 6]",10,7,8.20,"[9, 7, 7, 8, 7, 9, 8, 10, 9, 8]",0.17
['Shrinking::CycleShrink2'],37.62,"[0.676063218, 0.848524286, 2.406131955, 6.666721689, 4.269601129, 0.445337353, 6.377914879, 3.64774496, 3.244649533, 9.036244612]",36,425,"[36, 30, 60, 74, 38, 26, 44, 32, 48, 37]",338,"[27, 24, 46, 62, 30, 20, 38, 24, 40, 27]",11,6,9.20,"[8, 11, 10, 11, 8, 9, 11, 8, 10, 6]",13,8,11.20,"[10, 13, 12, 13, 10, 11, 13, 10, 12, 8]",0.09
['Shrinking::RoughCycleShrink2'],2463.26,"[232.343264149, 204.496051832, 124.628297616, 181.298748421, 237.579698859, 256.782771594, 248.931746752, 324.379749917, 461.498676199, 191.323236128]",648,4816,"[564, 407, 220, 400, 541, 570, 453, 539, 910, 212]",3959,"[465, 327, 162, 334, 464, 416, 407, 474, 748, 162]",8,6,6.60,"[7, 7, 6, 7, 6, 7, 6, 8, 6, 6]",10,8,8.60,"[9, 9, 8, 9, 8, 9, 8, 10, 8, 8]",0.51
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",389.87,"[36.281526632, 35.827789253, 32.869013367, 47.542293521, 34.902846889, 49.245778881999996, 37.802567681, 44.72500692, 30.669931959, 40.00645122]",128,1144,"[94, 120, 133, 179, 90, 97, 134, 95, 130, 72]",949,"[77, 100, 106, 154, 73, 81, 113, 80, 108, 57]",8,5,6.60,"[7, 7, 6, 8, 6, 7, 6, 8, 5, 6]",10,7,8.60,"[9, 9, 8, 10, 8, 9, 8, 10, 7, 8]",0.34
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",606.43,"[57.242617694, 72.348334314, 50.751118486, 81.560994384, 47.536807912, 68.019701783, 55.871302534, 72.95466233799999, 47.086938311, 53.056016908000004]",158,1203,"[108, 120, 110, 213, 95, 114, 121, 118, 125, 79]",1018,"[90, 101, 89, 185, 79, 97, 105, 101, 107, 64]",8,5,6.60,"[7, 7, 6, 8, 6, 7, 6, 8, 5, 6]",10,7,8.60,"[9, 9, 8, 10, 8, 9, 8, 10, 7, 8]",0.50
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",1277.47,"[126.39602964, 123.986945414, 56.695494518, 150.93460450100002, 101.220104874, 138.193900767, 191.092579921, 120.48111296399999, 178.488262232, 89.98334551900001]",282,1661,"[148, 155, 131, 245, 108, 181, 255, 139, 208, 91]",1437,"[128, 134, 106, 214, 93, 158, 224, 123, 181, 76]",8,5,6.40,"[7, 6, 5, 7, 6, 7, 6, 8, 6, 6]",10,7,8.40,"[9, 8, 7, 9, 8, 9, 8, 10, 8, 8]",0.77
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",2906.38,"[275.021172966, 264.664016037, 162.13952638199999, 226.290456565, 275.169525323, 300.156151737, 286.990693108, 375.503826256, 510.638301647, 229.81068622499998]",714,5246,"[612, 455, 255, 448, 576, 618, 488, 602, 945, 247]",4333,"[507, 369, 192, 376, 494, 458, 437, 530, 778, 192]",8,6,6.60,"[7, 7, 6, 7, 6, 7, 6, 8, 6, 6]",10,8,8.60,"[9, 9, 8, 9, 8, 9, 8, 10, 8, 8]",0.55
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",3117.62,"[296.531402744, 275.85711878300003, 176.800550519, 263.621801863, 297.300817694, 322.854926701, 302.554793593, 410.01708757200004, 534.131019901, 237.951835414]",750,5358,"[627, 469, 262, 462, 582, 631, 494, 625, 952, 254]",4441,"[520, 382, 199, 389, 501, 471, 444, 551, 785, 199]",8,6,6.60,"[7, 7, 6, 7, 6, 7, 6, 8, 6, 6]",10,8,8.60,"[9, 9, 8, 9, 8, 9, 8, 10, 8, 8]",0.58
